Mi az AuxR processzor regiszter szerepe?;AuxR: Auxiliary Register, 16 bites érték felsõ bitjének átmeneti tárolására, külsõ buszról beolvasáskor;felsõ, bit, tárolás, külsõ, busz, beolvasás
Mire való a „RAM_init.vh” fájl, mi hozza létre?;Az EPMP_Prog_Minta.xls hozza létre. Ez inicializálja a RAM-ot, a programkódban megadottak szerint;inicializál, RAM
Mi a közös egy-egy utasításcsoporton belül?;Funkcionálisan hasonló mûveletek. Az állapotgépben hasonló utat járnak be (de nem feltétlenül ugyanazt, pl.: JMP, JMPC);funkcionális, hasonló
die Abteilung;osztály;osztály
das Angebot;ajánlat;ajánlat
die Anzeige;kijelzõ;kijelzõ
die Couch;kanapé;kanapé
der Einwohner;népesség;népesség
das Erdgeschoss;földszint;földszint
die Farbe;szín;szín
das Gespräch;beszélgetés;beszélgetés
das Glas;üveg;üveg
die Größe;méret;méret
die Hälfte;fél;fél
die Haupstadt;fõváros;fõváros
der Haushalt;háztartás;háztartás
die Kosmetik;kozmetikum;kozmetikum
die Küche;konyha;konyha
der Kunde;vásárló;vásárló
die Million;millió;millió
das Möbelstück;bútordarab;bútordarab
das Möbelstück;bútordarab;bútordarab
die Notiz;jegyzet;jegyzet
der Preis;ár;ár
das Prozent;százalék;százalék
der Quadratkilometer;négyzetkilométer;négyzetkilométer
das Sonderangebot;különleges ajánlat;különleges ajánlat
der Stock;szint/emelet;szint/emelet
die Stunde;óra;óra
der Teil;része;része
der Topf;edény;edény
das Viertel;negyed(ik);negyed(ik)
die Währung;valuta;valuta
die Werbung;hirdetés;hirdetés
die Zeitschrift;magazin;magazin
der Zustand;állam;állam
ausgeben;költeni;költeni
bekommen;kapni;kapni
brauchen;szükségeltetik/kell;szükségeltetik/kell
finden;találni;találni
funktionieren;funkcionálni;funkcionálni
kaufen;megvesz;megvesz
kosten;kerülni;kerülni
sammeln;gyûjteni;gyûjteni
schauen;nézni;nézni
stimmen;stimmelni;stimmelni
verkaufen;eladni;eladni
wechseln;váltani;váltani
andere;más;más
bequem;kényelmes;kényelmes
billig;olcsó;olcsó
egal;egyformák;egyformák
einfach;éppen;éppen
gebraucht;használt;használt
günstig;kedvezõ;kedvezõ
interessant;érdekes;érdekes
jung;fiatal;fiatal
krank;beteg;beteg
langweilig;unalmas;unalmas
modern;modern;modern
nett;szép;szép
praktisch;praktikus;praktikus
schlecht;rossz;rossz
schön;szép;szép
super;szuper;szuper
teuer;drága;drága
toll;nagy;nagy
wenige;kevés;kevés
aber;de;de
auf Wiederhören;viszlát;viszlát
da hinten;vissza;vissza
dann;akkor;akkor
da vorne;elöl;elöl
dort;ott;ott
erst;csak;csak
fast;majdnem;majdnem
